Row,Equipment Number,Original Description,Suspect Tokens
925,2000017051,31 Flue Gas Recirculation Ash Cr Usher Motor,Cr
926,2000017052,31 Hopper Ash Jet Exhaust Er,Er
937,2000017063,32 Flue Gas Recirculation Ash Cr Usher,Cr
938,2000017064,32 Flue Gas Recirculation Ash Cr Usher Motor,Cr
954,2000017080,(aha) All Ahhop,Ahhop
955,2000017081,(aha) All Ehop,Ehop
956,2000017082,1 Metro Ash Transfer Blow Er,Er
958,2000017584,301 Pyrite Jet Pump,Pump
960,2000017586,302 Pyrite Jet Pump,Pump
962,2000017588,303 Pyrite Jet Pump,Pump
964,2000017590,304 Pyrite Jet Pump,Pump
966,2000017592,305 Pyrite Jet Pump,Pump
968,2000017594,306 Pyrite Jet Pump,Pump
970,2000017596,307 Pyrite Jet Pump,Pump
972,2000017598,308 Pyrite Jet Pump,Pump
974,2000018000,309 Pyrite Jet Pump,Pump
976,2000018002,31 Reject Tank Jet Pump,Pump
978,2000018004,310 Pyrite Jet Pump,Pump
980,2000018006,32 Reject Tank Jet Pump,Pump
981,2000018007,02 Vertical Lift/roll Up,Up
982,2000018008,04 Vertical Lift/roll Up,Up
991,2000018017,31 AQCS Coll Basin Return Pump Motor,Pump
992,2000018018,31 AQCS Coll Basin Return Pump,Pump
996,2000018022,31 Ash Conditioning Water Pump ,Pump
1000,2000018026,31 AQCS Landfill Pond Return Urn Pump Motor,Pump
1001,2000018027,31 AQCS Landfill Pond Return Urn Pump,Pump
1004,2000018030,(ash) 31 Axbxbl,Axbxbl
1012,2000018038,31 AQCS Ash Handling & Co Ndi Ioning,Co
1053,2000018079,32 AQCS Coll Basin Return Pump Motor,Pump
1054,2000018080,32 AQCS Coll Basin Return Pump,Pump
1058,2000018084,32 Ash Conditioning Water Pump ,Pump
1059,2000018085,32 AQCS Landfill Pond Return Urn Pump Motor,Pump
1060,2000018086,32 AQCS Landfill Pond Return Urn Pump,Pump
1071,2000018097,32 AQCS Ash Handling & Co Ndi Ioning,Co
1110,2000018536,33 AQCS Ash Handling & Co Ndi Ioning,Co
1141,2000018567,(ash) All Acmix,Acmix
1142,2000018568,(ash) All Atc,Atc
1144,2000018570,(ash) All Rsvf,Rsvf
1145,2000018571,All AQCS Solids Fluidizin Conveyor,Fluidizin
1148,2000018574,Mm001 Vertical Lift/roll Up,"Mm001, Up"
1171,2000018597,31 Diesel Fuel Oil Pump,Pump
1173,2000018599,31 Elecric Duct Heaters Landfill Air Comp. R,R
1175,2000019001,31 Lubricant Disposal Tan K,K
1208,2000019034,Electric Duct Heaters Landfill Locker Rm,Rm
1211,2000019037,36 Elecric Duct Heaters Landfill Mech Rm,Rm
1215,2000019041,1 Bottom Ash Sluice Water Pump Motor,Pump
1216,2000019042,1 Bottom Ash Sluice Water Pump,Pump
1217,2000019043,1 Closed Cooling Water Ch Em Feed Tank,"Ch, Em"
1219,2000019045,1 Pyrite Sluice Water Pump Motor,Pump
1220,2000019046,1 Pyrite Sluice Water Pump,Pump
1221,2000019047,1 Recycle Water Pump Motor,Pump
1222,2000019048,1 Recycle Water Pump,Pump
1223,2000019049,1 Recycle Water-seal Wt R Booster Pump Motor,"Pump, R, Wt"
1224,2000019050,1 Recycle Water-seal Wt R Booster Pump-seal,"Pump, R, Wt"
1225,2000019051,1 Recycle Seal Water Pump Motor,Pump
1226,2000019052,1 Recycle Seal Water Pump,Pump
1227,2000019053,1 Recycle Seal Water Strain Er St-0024,"Er, St"
1229,2000019055,2 Bottom Ash Sluice Water Pump Motor,Pump
1230,2000019056,2 Bottom Ash Sluice Water Pump,Pump
1231,2000019057,2 Pyrite Sluice Water Pump Motor,Pump
1232,2000019058,2 Pyrite Sluice Water Pump,Pump
1233,2000019059,2 Recycle Water Pump Motor,Pump
1234,2000019060,2 Recycle Water Pump,Pump
1235,2000019061,2 Recycle Seal Water Pump Motor,Pump
1236,2000019062,2 Recycle Seal Water Pump,Pump
1237,2000019063,3 Recycle Water Pump Motor,Pump
1238,2000019064,3 Recycle Water Pump,Pump
1239,2000019065,3 Recycle Seal Water Pump Motor,Pump
1240,2000019066,3 Recycle Seal Water Pump,Pump
1243,2000019069,(aw) All Rclp,"aw, Rclp"
1244,2000019070,(aw) Rycp,"aw, Rycp"
1251,2000019566,F011 Vertical Lift/roll U Pump,"Pump, U"
1252,2000019567,F012 Vertical Lift/roll U Pump,"Pump, U"
1253,2000019568,F013 Vertical Lift/roll U Pump,"Pump, U"
1254,2000019569,F014 Vertical Lift/roll U Pump,"F014, Pump, U"
1255,2000019570,F015 Vertical Lift/roll U Pump,"F015, Pump, U"
1256,2000019571,F016 Vertical Lift/roll U Pump,"F016, Pump, U"
1257,2000019572,F017 Vertical Lift/roll U Pump,"F017, Pump, U"
1258,2000019573,F018 Vertical Lift/roll U Pump,"F018, Pump, U"
